Team,Fifa,Group,points,pps
Russia,66,A,13.756243756243757,12.72893772893773
Saudi,67,A,13.776223776223777,11.750880072308647
Egypt,46,A,26.273726273726275,12.944902319902322
Uruguay,17,A,52.44755244755245,8.32659065142023
Portugal,4,B,61.24875124875125,9.194519246155103
Spain,8,B,89.75024975024975,13.6661742104865
Morocco,42,B,17.5024975024975,6.845720657408968
Iran,36,B,21.908091908091908,6.431667053670058
France,7,C,76.41358641358642,11.031169387001048
Australia,40,C,14.76023976023976,5.707152875984044
Peru,11,C,50.14485514485514,7.616079968479123
Denmark,12,C,36.50349650349651,5.388259336123978
Argentina,5,D,55.55444555444556,8.549253370883951
Iceland,22,D,36.58841158841159,6.003126236639059
Croatia,18,D,44.33566433566433,7.086065789707742
Nigeria,47,D,11.933066933066932,6.179790447647592
Brazil,2,E,93.85614385614386,14.711911882623507
Switzerland,6,E,54.69030969030969,8.14203284381462
Costa Rica,25,E,21.33866133866134,3.9626428488816177
Serbia,35,E,15.82917082917083,4.325302763614453
Germany,1,F,68.14685314685315,11.244497076708981
Mexico,15,F,43.616383616383615,6.7740042734129515
Sweden,23,F,32.217782217782215,5.654756873163473
Korea,61,F,6.8081918081918085,5.810606060606059
Belgium,3,G,91.07392607392607,14.219996298436202
Panama,55,G,7.4825174825174825,5.532193996479709
Tunisia,14,G,45.08991008991009,6.3635480057183385
England,13,G,40.52947052947053,5.752870507833813
Poland,10,H,50.28971028971029,7.253539904804081
Colombia,16,H,47.3976023976024,7.433639315507451
Senegal,28,H,30.264735264735265,6.144040954605391
Japan,60,H,8.47152847152847,7.129953379953381
